p+n->D+γ,D+p->He3+γ,D+D->n+He3,D+D->p+T,He3+n->p+T,T+D->n+He4,He3+D->p+He4,He3+He4->Be7+γ,T+He4->Li7+γ,Be7+n->p+Li7,Li7+p->He4+He4
8.44295908772671e+16,8467719534101446.0,374166583.77015764,273889830.1661208,1698991331.8956845,16318414.603056468,16729721.39157791,1.882902476568433e+16,1.696858001694928e+16,1569300841.69827,1041028.0511468942
8.271880824584974e+16,8260497510948852.0,361760938.05623865,264394212.62434334,1651126271.6203704,15411414.456484562,15747901.408275148,1.841812456375797e+16,1.6656429052439316e+16,1522337447.6916263,977852.2161294997
8.103983229252987e+16,8057525209730431.0,349745388.9928188,255208703.22058433,1604586951.7070026,14550065.191628816,14818611.899161695,1.8014921076707996e+16,1.6349271835377378e+16,1476734440.381611,918214.6270979216
7.939207567524765e+16,7858731834469931.0,338108227.9557181,246323712.46013138,1559337105.1430962,13732322.54204638,13939329.04858099,1.7619299416641952e+16,1.6047037497776596e+16,1432453413.8014576,861934.2034746666
7.777496190848749e+16,7664047543544970.0,326838084.7500622,237729934.03199282,1515341448.5019426,12956221.741116151,13107635.757027999,1.7231145729368554e+16,1.574965612017689e+16,1389457025.9619937,808838.2347147532
7.618792529742251e+16,7473403437791102.0,315923918.09522027,229418336.7342953,1472565655.4226058,12219874.926583022,12321217.776199589,1.6850347203852564e+16,1.5457058718791258e+16,1347708969.7576938,758762.0354236674
7.463041085709022e+16,7286731548783970.0,305355006.3723451,221380156.62450066,1430976330.802172,11521468.613044523,11577859.959782306,1.6476792080877858e+16,1.5169177232826622e+16,1307173944.6614068,711548.6129886045
7.310187421806421e+16,7103964827297151.0,295120938.62735736,213606889.38828045,1390540985.6811914,10859261.231009146,10875442.627205916,1.6110369660946164e+16,1.4885944511977078e+16,1267817629.1865158,667048.3473247972
7.160178151999082e+16,6925037131932912.0,285211605.8224018,206090282.9210444,1351228012.803719,10231580.731179915,10211938.037646372,1.5750970311437814e+16,1.4607294304087078e+16,1229606654.095822,625118.6823500439
7.012960929426764e+16,6749883217923663.0,275617192.32900184,198822330.11629197,1313006662.8339038,9636822.252640624,9585406.971616346,1.5398485473060618e+16,1.4333161242982606e+16,1192508576.3370533,585623.8288117043
6.8684844337061096e+16,6578438726101349.0,266328167.65630928,191795261.8551043,1275847021.2115152,9073445.853644775,8993995.417534593,1.5052807665611302e+16,1.4063480836467834e+16,1156491853.6853669,548434.478101088
