p,n,D,T,He3,He4,Be7,Li7,T9,Tnu9,time
0.7579773524755549,5.144281083968844e-12,1.918185385205913e-05,6.394245996616621e-08,7.72119835947169e-06,0.060490176553093564,2.8077967120069264e-10,4.0319143113861856e-11,0.03912031623590861,0.027927071496734696,116313.14839442323
0.7579773524784176,4.841975509047395e-12,1.9181805906412142e-05,6.394372234499602e-08,7.721220673562756e-06,0.06049017655874392,2.807796538415111e-10,4.0319159374381986e-11,0.03876968642642014,0.027676765141862167,118435.63820679423
0.7579773524810968,4.557258749665623e-12,1.9181759962398626e-05,6.394494859214214e-08,7.721242095240955e-06,0.06049017656413139,2.807796376496498e-10,4.031917456333418e-11,0.03842219926185716,0.027428702247113874,120592.05279800545
0.7579773524835992,4.2892211748730755e-12,1.9181715965880558e-05,6.394613903062322e-08,7.721262647323406e-06,0.060490176569264156,2.8077962256915474e-10,4.031918873092996e-11,0.03807782657514183,0.027182862704677003,122782.85196545083
0.7579773524859333,4.03678757320067e-12,1.918167384737001e-05,6.394729423494336e-08,7.721282359432272e-06,0.060490176574152496,2.807796085337674e-10,4.031920193675922e-11,0.037736540451653866,0.026939226586962205,125008.64792054618
0.7579773524881092,3.798713871429258e-12,1.9181633522145037e-05,6.394841502042087e-08,7.721301267924459e-06,0.060490176578808716,2.8077959546671344e-10,4.031921424997314e-11,0.03739831322696768,0.026697774144988258,127270.18896472515
0.757977352490138,3.5735806181932597e-12,1.9181594890038792e-05,6.394950243822097e-08,7.721319415966837e-06,0.06049017658324724,2.807795832802859e-10,4.031922574965393e-11,0.037063117484610025,0.026458485806781246,129568.3441727242
0.7579773524920217,3.3612838555596806e-12,1.9181557944146374e-05,6.395055626059685e-08,7.721336805957206e-06,0.06049017658746948,2.807795719665455e-10,4.031923644181819e-11,0.03673092605383756,0.026221342175788063,131904.08903338725
0.7579773524937796,3.161066791138583e-12,1.9181522486164324e-05,6.3951579218935e-08,7.721353524553962e-06,0.06049017659150288,2.8077956138075846e-10,4.031924645793829e-11,0.03640171200743447,0.025986324029304134,134278.4920004072
0.7579773524954193,2.972218809052797e-12,1.9181488444250498e-05,6.395257225834399e-08,7.721369603038578e-06,0.060490176595357485,2.80779551465839e-10,4.031925585013767e-11,0.036075448659529705,0.025753412316915237,136692.7019075197
0.757977352496944,2.794350679774767e-12,1.918145579106714e-05,6.395353570406343e-08,7.721385053221795e-06,0.060490176599037174,2.8077954219984486e-10,4.031926463846515e-11,0.03575210956343388,0.02552258815895331,139147.93620467442
0.7579773524983573,2.6270044117811604e-12,1.918142449281045e-05,6.395446999433698e-08,7.721399889786985e-06,0.060490176602546665,2.807795335568948e-10,4.0319272846597174e-11,0.03543166850949549,0.025293832844966044,141645.46997364017
0.7579773524996638,2.4696465381717495e-12,1.9181394508630094e-05,6.395537568901637e-08,7.721414130544257e-06,0.060490176605891635,2.8077952550677783e-10,4.031928050219706e-11,0.03511409952297642,0.02506712783220025,144186.62568334554
0.7579773525008686,2.321660150078079e-12,1.9181365789902516e-05,6.395625348126552e-08,7.721427796750692e-06,0.06049017660907878,2.807795180144904e-10,4.0319287637340986e-11,0.034799376861946424,0.02484245474409879,146772.76364703372
0.757977352501978,2.1823357056482337e-12,1.9181338279361877e-05,6.395710421228038e-08,7.721440913495084e-06,0.06049017661211595,2.8077951103970324e-10,4.0319294289009076e-11,0.03448747501519648,0.02461979536881097,149405.2731450061
0.7579773525029987,2.050860640679515e-12,1.9181311910091845e-05,6.395792888894845e-08,7.721453510145637e-06,0.06049017661501226,2.807795045361595e-10,4.03193004996404e-11,0.034178368700170915,0.024399131657716344,152085.56417835946
0.7579773525039378,1.926435665328873e-12,1.9181286617791358e-05,6.395872844282614e-08,7.72146561484984e-06,0.06049017661777655,2.80779498460156e-10,4.0319306309151745e-11,0.03387203286091797,0.024180445723961635,154815.05982068393
0.7579773525047948,1.8097663445443933e-12,1.9181262416231504e-05,6.39595023683226e-08,7.7214772209468e-06,0.06049017662040722,2.807794928344159e-10,4.03193116949072e-11,0.03356844266605883,0.02396371984101091,157595.18913618187
0.7579773525055854,1.6996628049917636e-12,1.918123912636265e-05,6.396025405799568e-08,7.721488408440237e-06,0.060490176622927674,2.8077948754585236e-10,4.031931676267391e-11,0.03326757350677476,0.02374893644120863,160427.380634106
0.7579773525063105,1.5959612215499875e-12,1.918121674093378e-05,6.396098353464499e-08,7.721499180293986e-06,0.06049017662533902,2.807794825877825e-10,4.031932151859328e-11,0.03296940099481237,0.02353607811435566,163313.05623078477
0.7579773525069718,1.498456049902482e-12,1.9181195248677142e-05,6.396169090151855e-08,7.721509541274677e-06,0.06049017662764292,2.8077947795158084e-10,4.031932597062016e-11,0.0326739009605067,0.023325127606297978,166253.62569182206
0.7579773525075715,1.4068944544223964e-12,1.9181174633675872e-05,6.396237635662259e-08,7.721519498239629e-06,0.060490176629841595,2.8077947362641264e-10,4.031933012877306e-11,0.03238104945082203,0.02311606781752808,169250.4815283184
0.7579773525081118,1.3209702912260318e-12,1.9181154874673407e-05,6.396304020848201e-08,7.721529060451547e-06,0.06049017663193796,2.807794695989454e-10,4.031933400540462e-11,0.032090822727410304,0.022908881801798932,172304.9943221675
0.7579773525085958,1.2403176578525382e-12,1.91811359443263e-05,6.396368289331231e-08,7.721538239919346e-06,0.06049017663393568,2.8077946585303924e-10,4.031933761549208e-11,0.031803197264686875,0.022703552764750258,175418.50845664187
0.7579773525090271,1.1645040216807165e-12,1.918111780840202e-05,6.396430499356219e-08,7.721547051764327e-06,0.06049017663583932,2.8077946236941674e-10,4.031934097694684e-11,0.031518149747923566,0.022500064062547266,178592.33822958585
0.7579773525094099,1.0930229400251597e-12,1.918110042492341e-05,6.3964907257784e-08,7.721555514610934e-06,0.060490176637654394,2.8077945912531354e-10,4.031934411094287e-11,0.031235657071358756,0.02229839920053146,181827.76432759804
0.7579773525097492,1.02528638584381e-12,1.9181083743261676e-05,6.396549062178745e-08,7.721563651001273e-06,0.06049017663938751,2.807794560941087e-10,4.031934704226303e-11,0.0309556963363245,0.02209854183188362,185126.03064059943
0.7579773525100432,9.618742309801033e-13,1.9181067792553097e-05,6.39660542340609e-08,7.721571447203707e-06,0.06049017664103535,2.807794532847798e-10,4.031934976226625e-11,0.030678244849390315,0.021900475756298728,188488.3413971573
0.7579773525103015,9.021417244838755e-13,1.918105244900181e-05,6.396660087650596e-08,7.721578959488879e-06,0.06049017664261327,2.807794506460718e-10,4.031935231919498e-11,0.030403280120523717,0.0217041849186728,191915.85860186507
0.7579773525105253,8.459625406266985e-13,1.9181037706896946e-05,6.396713055965342e-08,7.721586190148177e-06,0.06049017664412216,2.8077944817335005e-10,4.031935471737178e-11,0.03013077986126716,0.02150965340780144,195409.6997569708
0.7579773525107155,7.932265699074291e-13,1.9181023562341004e-05,6.3967643257009e-08,7.721593140655469e-06,0.060490176645562686,2.807794458629335e-10,4.031935696022959e-11,0.029860721982931358,0.021316865455090112,198970.9358512986
0.7579773525108731,7.437927328322999e-13,1.9181010007728338e-05,6.396813903481714e-08,7.721599814191757e-06,0.06049017664693596,2.8077944370987126e-10,4.03193590524072e-11,0.029593084594804808,0.02112580543327595,202600.58960032338
0.7579773525109997,6.974858071815246e-13,1.918099703129833e-05,6.396861806427261e-08,7.721606215853643e-06,0.060490176648243583,2.807794417078072e-10,4.031936099987749e-11,0.02932784600237932,0.02093645785516101,206299.6339220439
0.7579773525110971,6.54093146271082e-13,1.9180984616671452e-05,6.396908063422596e-08,7.721612352869843e-06,0.060490176649487706,2.8077943984884114e-10,4.031936281008029e-11,0.029064984705591476,0.02074880737235688,210068.99063403963
0.7579773525111675,6.133612969820772e-13,1.9180972742369458e-05,6.396952716434672e-08,7.72161823482516e-06,0.06049017665067109,2.807794381233846e-10,4.0319364492059293e-11,0.028804479397079877,0.020562838774040578,213909.5293578189
0.7579773525112132,5.749925268055582e-13,1.918096138132113e-05,6.396995821870617e-08,7.721623873891282e-06,0.060490176651797165,2.8077943652001365e-10,4.0319366056602824e-11,0.028546308960457945,0.020378536985721552,217822.06661724378
0.7579773525112375,5.386412696149466e-13,1.9180950500354943e-05,6.397037451973958e-08,7.721629285063733e-06,0.06049017665287006,2.80779435025317e-10,4.031936751638793e-11,0.02829045246860227,0.020195887068019742,221807.36511847505
0.7579773525112382,5.04706061499287e-13,1.9180940138183407e-05,6.397077490853786e-08,7.721634450023753e-06,0.060490176653885466,2.8077943364940447e-10,4.0319368861677004e-11,0.02803688918195625,0.020014874215454653,225866.13319950225
0.7579773525112223,4.727515880496242e-13,1.9180930185855942e-05,6.397116221782532e-08,7.72163941918614e-06,0.060490176654856224,2.8077943235847084e-10,4.031937012472665e-11,0.027785598546848984,0.01983548375524516,229999.02443792473
